doc_id,num_code,agency_id,effect,type,is_outstanding,date_issued,date_effective,date_published,sign_person_id,status_id,num_gazette,created_at,updated_at
62,2571/QĐ-UBND,Tỉnh Phú Thọ,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Bùi Văn Quang,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
63,2516/QĐ-UBND,Tỉnh Phú Thọ,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Bùi Văn Quang,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
64,2531/QĐ-UBND,Tỉnh Phú Thọ,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Bùi Văn Quang,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
65,1760/QĐ-UBND,Tỉnh Điện Biên,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Phạm Đức Toàn,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
66,15/2022/QĐ-UBND,Tỉnh Bắc Ninh,Còn hiệu lực,Quyết định,0,23/09/2022,15/10/2022,23/09/2022,Nguyễn Hương Giang,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
67,55/2022/QĐ-UBND,Thành phố Hải Phòng,Còn hiệu lực,Quyết định,0,23/09/2022,05/10/2022,23/09/2022,Nguyễn Văn Tùng,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
68,11/CT-UBND,Tỉnh Đắk Lắk,Còn hiệu lực,Chỉ thị,0,23/09/2022,23/09/2022,23/09/2022,Y Giang Gry Niê Knơng,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
69,12/2022/NQ-HĐND,Tỉnh Hà Giang,Còn hiệu lực,Nghị quyết,0,23/09/2022,05/10/2022,23/09/2022,Thào Hồng Sơn,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
70,2293/QĐ-UBND,Tỉnh Thừa Thiên Huế,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Nguyễn Thanh Bình,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
71,2142/QĐ-UBND,Tỉnh Đắk Lắk,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Y Giang Gry Niê Knơng,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
